Names	BdoubleO100	BigB - Minecraft	Dangthatsalongname	EthosLab	GoodTimesWithScar	Grian	impulseSV	InTheLittleWood - EN VTuber	PearlescentMoon	rendog	SmallishBeans	Solidarity	Tango Tek	ZombieCleo
"May 17, 2015"	1065006.728	0	5327	1767958	175499	3786	44698.982	79357.79	11.979	95324.603	407399	10453.864	132405.857	40782.263
"May 18, 2015"	1065238.423	0	5330	1768291	175793	3799	44768.317	79401.412	11.988	95356.228	407961	10467.11	132566.5	40829.438
"May 19, 2015"	1065470.118	0	5344	1768632	175860	3808	44837.652	79445.034	11.998	95387.853	408393	10480.356	132727.143	40876.613
"May 20, 2015"	1065701.813	0	5357	1768849	176013	3818	44906.987	79488.657	12.007	95419.478	408772	10493.602	132887.786	40923.788
"May 21, 2015"	1065933.508	0	5365	1768963	176106	3830	44976.321	79532.279	12.017	95451.103	409203	10506.848	133048.429	40970.963
"May 22, 2015"	1066165.203	0	5372	1769157	176302	3836	45045.656	79575.901	12.026	95482.728	409773	10520.094	133209.071	41018.138
"May 23, 2015"	1066396.897	0	5388	1769409	176387	3848	45114.991	79619.524	12.036	95514.354	410571	10533.339	133369.714	41065.312
"May 24, 2015"	1066628.592	0	5400	1769763	176727	3862	45184.326	79663.146	12.045	95545.979	411246	10546.585	133530.357	41112.487
"May 25, 2015"	1066860.287	0	5411	1770562	176751	3877	45253.661	79706.768	12.055	95577.604	411972	10559.831	133691	41159.662
"May 26, 2015"	1067091.982	0	5435	1770849	176938	3894	45322.996	79750.39	12.064	95609.229	412500	10573.077	133851.643	41206.837
"May 27, 2015"	1067323.677	0	5444	1770839	177127	3905	45392.33	79794.013	12.074	95640.854	413062	10586.323	134012.286	41254.012
"May 28, 2015"	1067555.372	0	5463	1771175	177273	3916	45461.665	79837.635	12.083	95672.479	413690	10599.569	134172.929	41301.187
"May 29, 2015"	1067787.067	0	5498	1771533	177316	3926	45531	79881.257	12.093	95704.105	414256	10612.815	134333.571	41348.362
"May 30, 2015"	1068018.762	0	5510	1771735	177468	3938	45600.335	79924.879	12.102	95735.73	415057	10626.061	134494.214	41395.537
"May 31, 2015"	1068250.456	0	5531	1771934	177746	3955	45669.67	79968.502	12.112	95767.355	415993	10639.307	134654.857	41442.712
"Jun 01, 2015"	1068482.151	0	5552	1772100	177830	3969	45739.004	80012.124	12.121	95798.98	416759	10652.553	134815.5	41489.887
"Jun 02, 2015"	1068713.846	0	5569	1772328	177976	3975	45808.339	80055.746	12.131	95830.605	417489	10665.799	134976.143	41537.061
"Jun 03, 2015"	1068945.541	0	5588	1772591	178186	3984	45877.674	80099.369	12.14	95862.231	418150	10679.045	135136.786	41584.236
"Jun 04, 2015"	1069177.236	0	5607	1772907	178283	3997	45947.009	80142.991	12.15	95893.856	418802	10692.291	135297.429	41631.411
"Jun 05, 2015"	1069408.931	0	5618	1772816	178588	4008	46016.344	80186.613	12.159	95925.481	419269	10705.537	135458.071	41678.586
"Jun 06, 2015"	1069640.626	0	5628	1773026	178784	4014	46085.679	80230.235	12.169	95957.106	419919	10718.783	135618.714	41725.761
"Jun 07, 2015"	1069872.321	0	5633	1773548	178986	4035	46155.013	80273.858	12.178	95988.731	420566	10732.029	135779.357	41772.936
"Jun 08, 2015"	1070104.015	0	5650	1773891	179158	4058	46224.348	80317.48	12.188	96020.356	421242	10745.275	135940	41820.111
"Jun 09, 2015"	1070335.71	0	5666	1774166	179236	4067	46293.683	80361.102	12.197	96051.982	421853	10758.521	136100.643	41867.286
"Jun 10, 2015"	1070567.405	0	5672	1774456	179513	4078	46363.018	80404.724	12.207	96083.607	422404	10771.767	136261.286	41914.461
"Jun 11, 2015"	1070799.1	0	5683	1774532	179559	4091	46432.353	80448.347	12.216	96115.232	423015	10785.013	136421.929	41961.636
"Jun 12, 2015"	1071030.795	0	5696	1774820	179716	4112	46501.688	80491.969	12.226	96146.857	423736	10798.259	136582.571	42008.81
"Jun 13, 2015"	1071262.49	0	5705	1775338	180063	4121	46571.022	80535.591	12.235	96178.482	424706	10811.505	136743.214	42055.985
"Jun 14, 2015"	1071494.185	0	5797	1775962	180116	4135	46640.357	80579.214	12.245	96210.107	425514	10824.751	136903.857	42103.16
"Jun 15, 2015"	1071725.879	0	5806	1776397	180418	4151	46709.692	80622.836	12.254	96241.733	426182	10837.997	137064.5	42150.335
"Jun 16, 2015"	1071957.574	0	5843	1776776	180440	4162	46779.027	80666.458	12.264	96273.358	426880	10851.242	137225.143	42197.51
"Jun 17, 2015"	1072189.269	0	5855	1777099	180667	4174	46848.362	80710.08	12.273	96304.983	427514	10864.488	137385.786	42244.685
"Jun 18, 2015"	1072420.964	0	5876	1777355	180827	4184	46917.696	80753.703	12.283	96336.608	428188	10877.734	137546.429	42291.86
"Jun 19, 2015"	1072652.659	0	5877	1777782	181031	4195	46987.031	80797.325	12.292	96368.233	428953	10890.98	137707.071	42339.035
"Jun 20, 2015"	1072884.354	0	5932	1778290	181215	4211	47056.366	80840.947	12.302	96399.859	429728	10904.226	137867.714	42386.21
"Jun 21, 2015"	1073116.049	0	5988	1778702	181462	4224	47125.701	80884.569	12.311	96431.484	430549	10917.472	138028.357	42433.385
"Jun 22, 2015"	1073347.744	0	6012	1779095	181621	4244	47195.036	80928.192	12.321	96463.109	431316	10930.718	138189	42480.559
"Jun 23, 2015"	1073579.438	0	6041	1779453	181687	4269	47264.371	80971.814	12.33	96494.734	431962	10943.964	138349.643	42527.734
"Jun 24, 2015"	1073811.133	0	6046	1779810	181937	4287	47333.705	81015.436	12.34	96526.359	432717	10957.21	138510.286	42574.909
"Jun 25, 2015"	1074042.828	0	6100	1780251	182015	4319	47403.04	81059.059	12.349	96557.984	433632	10970.456	138670.929	42622.084
"Jun 26, 2015"	1074274.523	0	6114	1780677	182356	4348	47472.375	81102.681	12.359	96589.61	434493	10983.702	138831.571	42669.259
"Jun 27, 2015"	1074506.218	0	6151	1780987	182560	4400	47541.71	81146.303	12.368	96621.235	435262	10996.948	138992.214	42716.434
"Jun 28, 2015"	1074737.913	0	6153	1781378	182784	4402	47611.045	81189.925	12.378	96652.86	436088	11010.194	139152.857	42763.609
"Jun 29, 2015"	1074969.608	0	6179	1781921	182902	4428	47680.379	81233.548	12.387	96684.485	436893	11023.44	139313.5	42810.784
"Jun 30, 2015"	1075201.303	0	6200	1782537	183373	4438	47749.714	81277.17	12.397	96716.11	437626	11036.686	139474.143	42857.959
"Jul 01, 2015"	1075432.997	0	6221	1783165	183417	4470	47819.049	81320.792	12.406	96747.736	438551	11049.932	139634.786	42905.134
"Jul 02, 2015"	1075664.692	0	6230	1783694	183923	4487	47888.384	81364.414	12.416	96779.361	439434	11063.178	139795.429	42952.308
"Jul 03, 2015"	1075896.387	0	6246	1784168	184158	4502	47957.719	81408.037	12.425	96810.986	440315	11076.424	139956.071	42999.483
"Jul 04, 2015"	1076128.082	0	6265	1784881	184397	4545	48027.054	81451.659	12.435	96842.611	441084	11089.67	140116.714	43046.658
"Jul 05, 2015"	1076359.777	0	6280	1785396	184578	4560	48096.388	81495.281	12.444	96874.236	441882	11102.916	140277.357	43093.833
"Jul 06, 2015"	1076591.472	0	6303	1785888	184802	4614	48165.723	81538.904	12.454	96905.861	443124	11116.162	140438	43141.008
"Jul 07, 2015"	1076823.167	0	6316	1786448	184861	4635	48235.058	81582.526	12.463	96937.487	444592	11129.408	140598.643	43188.183
"Jul 08, 2015"	1077054.862	0	6333	1787217	185135	4641	48304.393	81626.148	12.473	96969.112	445456	11142.654	140759.286	43235.358
"Jul 09, 2015"	1077286.556	0	6347	1787800	185567	4667	48373.728	81669.77	12.482	97000.737	446423	11155.9	140919.929	43282.533
"Jul 10, 2015"	1077518.251	0	6353	1788495	185634	4687	48443.063	81713.393	12.492	97032.362	447406	11169.145	141080.571	43329.708
"Jul 11, 2015"	1077749.946	0	6365	1789088	185907	4711	48512.397	81757.015	12.501	97063.987	447789	11182.391	141241.214	43376.883
"Jul 12, 2015"	1077981.641	0	6370	1789766	186215	4732	48581.732	81800.637	12.511	97095.612	448796	11195.637	141401.857	43424.057
"Jul 13, 2015"	1078213.336	0	6407	1790257	186296	4748	48651.067	81844.259	12.52	97127.238	449951	11208.883	141562.5	43471.232
"Jul 14, 2015"	1078445.031	0	6425	1791020	186797	4775	48720.402	81887.882	12.53	97158.863	450848	11222.129	141723.143	43518.407
"Jul 15, 2015"	1078676.726	0	6433	1791728	186843	4803	48789.737	81931.504	12.54	97190.488	451636	11235.375	141883.786	43565.582
"Jul 16, 2015"	1078908.421	0	6456	1792333	187178	4839	48859.071	81975.126	12.549	97222.113	452435	11248.621	142044.429	43612.757
"Jul 17, 2015"	1079140.115	0	6475	1792981	187537	4872	48928.406	82018.749	12.559	97253.738	453219	11261.867	142205.071	43659.932
"Jul 18, 2015"	1079371.81	0	6486	1793520	187580	4898	48997.741	82062.371	12.568	97285.364	453960	11275.113	142365.714	43707.107
"Jul 19, 2015"	1079603.505	0	6504	1793944	187962	4946	49067.076	82105.993	12.578	97316.989	454952	11288.359	142526.357	43754.282
"Jul 20, 2015"	1079835.2	0	6508	1794023	187997	4983	49136.411	82149.615	12.587	97348.614	456373	11301.605	142687	43801.457
"Jul 21, 2015"	1080066.895	0	6510	1794415	188304	5015	49205.746	82193.238	12.597	97380.239	457487	11314.851	142847.643	43848.632
"Jul 22, 2015"	1080298.59	0	6523	1794964	188381	5070	49275.08	82236.86	12.606	97411.864	458372	11328.097	143008.286	43895.806
"Jul 23, 2015"	1080530.285	0	6539	1795156	188811	5109	49344.415	82280.482	12.616	97443.489	459318	11341.343	143168.929	43942.981
"Jul 24, 2015"	1080761.979	0	6543	1795582	189023	5147	49413.75	82324.104	12.625	97475.115	460133	11354.589	143329.571	43990.156
"Jul 25, 2015"	1080993.674	0	6561	1795793	189262	5227	49483.085	82367.727	12.635	97506.74	460885	11367.835	143490.214	44037.331
"Jul 26, 2015"	1081225.369	0	6573	1796346	189477	5259	49552.42	82411.349	12.644	97538.365	461692	11381.081	143650.857	44084.506
"Jul 27, 2015"	1081457.064	0	6577	1796642	189523	5274	49621.754	82454.971	12.654	97569.99	462565	11394.327	143811.5	44131.681
"Jul 28, 2015"	1081688.759	0	6618	1797147	189949	5337	49691.089	82498.594	12.663	97601.615	463568	11407.573	143972.143	44178.856
"Jul 29, 2015"	1081920.454	0	6638	1797392	190177	5400	49760.424	82542.216	12.673	97633.24	464509	11420.819	144132.786	44226.031
"Jul 30, 2015"	1082152.149	0	6658	1797765	190479	5403	49829.759	82585.838	12.682	97664.866	465422	11434.065	144293.429	44273.206
"Jul 31, 2015"	1082383.844	0	6689	1798542	190680	5476	49899.094	82629.46	12.692	97696.491	466211	11447.311	144454.071	44320.381
"Aug 01, 2015"	1082615.538	0	6713	1799397	190746	5583	49968.429	82673.083	12.701	97728.116	466975	11460.557	144614.714	44367.555
"Aug 02, 2015"	1082847.233	0	6721	1799955	191009	5698	50037.763	82716.705	12.711	97759.741	467735	11473.803	144775.357	44414.73
"Aug 03, 2015"	1083078.928	0	6738	1800582	191204	6119	50107.098	82760.327	12.72	97791.366	468883	11487.048	144936	44461.905
"Aug 04, 2015"	1083310.623	0	6747	1801073	191453	6496	50176.433	82803.949	12.73	97822.992	469825	11500.294	145096.643	44509.08
"Aug 05, 2015"	1083542.318	0	6783	1801672	191501	7784	50245.768	82847.572	12.739	97854.617	470591	11513.54	145257.286	44556.255
"Aug 06, 2015"	1083774.013	0	6806	1802068	191826	8086	50315.103	82891.194	12.749	97886.242	471334	11526.786	145417.929	44603.43
"Aug 07, 2015"	1084005.708	0	6822	1802140	191949	11443	50384.438	82934.816	12.758	97917.867	471904	11540.032	145578.571	44650.605
"Aug 08, 2015"	1084237.403	0	6838	1802431	192136	18156	50453.772	82978.439	12.768	97949.492	472644	11553.278	145739.214	44697.78
"Aug 09, 2015"	1084469.097	0	6861	1802672	192441	22512	50523.107	83022.061	12.777	97981.117	473299	11566.524	145899.857	44744.955
"Aug 10, 2015"	1084700.792	0	6881	1802845	192561	26725	50592.442	83065.683	12.787	98012.743	474010	11579.77	146060.5	44792.13
"Aug 11, 2015"	1084932.487	0	6884	1803274	192828	33268	50661.777	83109.305	12.796	98044.368	474591	11593.016	146221.143	44839.304
"Aug 12, 2015"	1085164.182	0	6890	1803666	193048	39981	50731.112	83152.928	12.806	98075.993	475402	11606.262	146381.786	44886.479
"Aug 13, 2015"	1085395.877	0	6913	1804256	193260	42084	50800.446	83196.55	12.815	98107.618	476263	11619.508	146542.429	44933.654
"Aug 14, 2015"	1085627.572	0	6929	1804607	193457	46350	50869.781	83240.172	12.825	98139.243	476670	11632.754	146703.071	44980.829
"Aug 15, 2015"	1085859.267	0	6953	1805153	193708	53890	50939.116	83283.794	12.834	98170.868	477430	11646	146863.714	45028.004
"Aug 16, 2015"	1086090.962	0	6974	1805473	193954	60399	51008.451	83327.417	12.844	98202.494	478238	11683	147024.357	45075.179
