Names	MrBeast
Bar Color	#00acd2
Bar Images	x
18-Nov-12	26.226
19-Nov-12	26.258
20-Nov-12	26.29
21-Nov-12	26.323
22-Nov-12	26.355
23-Nov-12	26.387
24-Nov-12	26.419
25-Nov-12	26.452
26-Nov-12	26.484
27-Nov-12	26.516
28-Nov-12	26.548
29-Nov-12	26.581
30-Nov-12	26.613
1-Dec-12	26.645
2-Dec-12	26.677
3-Dec-12	26.71
4-Dec-12	26.742
5-Dec-12	26.774
6-Dec-12	26.806
7-Dec-12	26.839
8-Dec-12	26.871
9-Dec-12	26.903
10-Dec-12	26.935
11-Dec-12	26.968
12-Dec-12	27
13-Dec-12	27.032
14-Dec-12	27.065
15-Dec-12	27.097
16-Dec-12	27.129
17-Dec-12	27.161
18-Dec-12	27.194
19-Dec-12	27.226
20-Dec-12	27.258
21-Dec-12	27.29
22-Dec-12	27.323
23-Dec-12	27.355
24-Dec-12	27.387
25-Dec-12	27.419
26-Dec-12	27.452
27-Dec-12	27.484
28-Dec-12	27.516
29-Dec-12	27.548
30-Dec-12	27.581
31-Dec-12	27.613
1-Jan-13	27.645
2-Jan-13	27.677
3-Jan-13	27.71
4-Jan-13	27.742
5-Jan-13	27.774
6-Jan-13	27.806
7-Jan-13	27.839
8-Jan-13	27.871
9-Jan-13	27.903
10-Jan-13	27.935
11-Jan-13	27.968
12-Jan-13	28
13-Jan-13	28.214
14-Jan-13	28.429
15-Jan-13	28.643
16-Jan-13	28.857
17-Jan-13	29.071
18-Jan-13	29.286
19-Jan-13	29.5
20-Jan-13	29.714
21-Jan-13	29.929
22-Jan-13	30.143
23-Jan-13	30.357
24-Jan-13	30.571
25-Jan-13	30.786
26-Jan-13	31
27-Jan-13	35
28-Jan-13	34.5
29-Jan-13	34
30-Jan-13	34.5
31-Jan-13	35
1-Feb-13	35.333
2-Feb-13	35.667
3-Feb-13	36
4-Feb-13	36.333
5-Feb-13	36.667
6-Feb-13	37
7-Feb-13	37.333
8-Feb-13	37.667
9-Feb-13	38
10-Feb-13	37.833
11-Feb-13	37.667
12-Feb-13	37.5
13-Feb-13	37.333
14-Feb-13	37.167
15-Feb-13	37
16-Feb-13	36.75
17-Feb-13	36.5
18-Feb-13	36.25
19-Feb-13	36
20-Feb-13	36.133
21-Feb-13	36.267
