names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
21-Jun-08								104.0919199						
22-Jun-08								105.5789474						
23-Jun-08								107.0659748						
24-Jun-08								108.5530022						
25-Jun-08								110.0400297						
26-Jun-08								111.5270571						
27-Jun-08								113.0140845						
28-Jun-08								114.5011119						
29-Jun-08								115.9881394						
30-Jun-08								117.4751668						
1-Jul-08								118.9621942						
2-Jul-08								120.4492216						
3-Jul-08								121.9362491						
4-Jul-08								123.4232765						
5-Jul-08								124.9103039						
6-Jul-08								126.3973314						
7-Jul-08								127.8843588						
8-Jul-08								129.3713862						
9-Jul-08								130.8584136						
10-Jul-08								132.3454411						
11-Jul-08								133.8324685						
12-Jul-08								135.3194959						
13-Jul-08								136.8065234						
14-Jul-08								138.2935508						
15-Jul-08								139.7805782						
16-Jul-08								141.2676056						
17-Jul-08								142.7546331						
18-Jul-08								144.2416605						
19-Jul-08								145.7286879						
