Date	Subscribers	Views	Subscriber 2	Views 2	Subscibers 3	Views 3	Subscribers 4	Views 4
"Dec 27, 2013"	113.8043478	6565.108696			60.27360308	21786.58857	0.277264325	30.91866913
"Dec 28, 2013"	115.701087	6674.527174			60.31149647	21816.36504	0.281885397	31.15064695
"Dec 29, 2013"	117.5978261	6783.945652			60.34938985	21846.14152	0.28650647	31.38262477
"Dec 30, 2013"	119.4945652	6893.36413			60.38728324	21875.91799	0.291127542	31.61460259
"Dec 31, 2013"	121.3913043	7002.782609			60.42517662	21905.69447	0.295748614	31.84658041
"Jan 01, 2014"	123.2880435	7112.201087			60.46307001	21935.47095	0.300369686	32.07855823
"Jan 02, 2014"	125.1847826	7221.619565			60.50096339	21965.24742	0.304990758	32.31053604
"Jan 03, 2014"	127.0815217	7331.038043			60.53885678	21995.0239	0.30961183	32.54251386
"Jan 04, 2014"	128.9782609	7440.456522			60.57675016	22024.80037	0.314232902	32.77449168
"Jan 05, 2014"	130.875	7549.875			60.61464355	22054.57685	0.318853974	33.0064695
"Jan 06, 2014"	132.7717391	7659.293478			60.65253693	22084.35333	0.323475046	33.23844732
"Jan 07, 2014"	134.6684783	7768.711957			60.69043031	22114.1298	0.328096118	33.47042514
"Jan 08, 2014"	136.5652174	7878.130435			60.7283237	22143.90628	0.33271719	33.70240296
"Jan 09, 2014"	138.4619565	7987.548913			60.76621708	22173.68276	0.337338262	33.93438078
"Jan 10, 2014"	140.3586957	8096.967391			60.80411047	22203.45923	0.341959335	34.1663586
"Jan 11, 2014"	142.2554348	8206.38587			60.84200385	22233.23571	0.346580407	34.39833641
"Jan 12, 2014"	144.1521739	8315.804348			60.87989724	22263.01218	0.351201479	34.63031423
"Jan 13, 2014"	146.048913	8425.222826			60.91779062	22292.78866	0.355822551	34.86229205
"Jan 14, 2014"	147.9456522	8534.641304			60.95568401	22322.56514	0.360443623	35.09426987
"Jan 15, 2014"	149.8423913	8644.059783			60.99357739	22352.34161	0.365064695	35.32624769
"Jan 16, 2014"	151.7391304	8753.478261			61.03147078	22382.11809	0.369685767	35.55822551
"Jan 17, 2014"	153.6358696	8862.896739			61.06936416	22411.89456	0.374306839	35.79020333
"Jan 18, 2014"	155.5326087	8972.315217			61.10725755	22441.67104	0.378927911	36.02218115
"Jan 19, 2014"	157.4293478	9081.733696			61.14515093	22471.44752	0.383548983	36.25415896
"Jan 20, 2014"	159.326087	9191.152174			61.18304432	22501.22399	0.388170055	36.48613678
"Jan 21, 2014"	161.2228261	9300.570652			61.2209377	22531.00047	0.392791128	36.7181146
"Jan 22, 2014"	163.1195652	9409.98913			61.25883109	22560.77694	0.3974122	36.95009242
"Jan 23, 2014"	165.0163043	9519.407609			61.29672447	22590.55342	0.402033272	37.18207024
"Jan 24, 2014"	166.9130435	9628.826087			61.33461785	22620.3299	0.406654344	37.41404806
"Jan 25, 2014"	168.8097826	9738.244565			61.37251124	22650.10637	0.411275416	37.64602588
"Jan 26, 2014"	170.7065217	9847.663043			61.41040462	22679.88285	0.415896488	37.8780037
"Jan 27, 2014"	172.6032609	9957.081522			61.44829801	22709.65933	0.42051756	38.10998152
"Jan 28, 2014"	174.5	10066.5			61.48619139	22739.4358	0.425138632	38.34195933
"Jan 29, 2014"	176.3967391	10175.91848			61.52408478	22769.21228	0.429759704	38.57393715
"Jan 30, 2014"	178.2934783	10285.33696			61.56197816	22798.98875	0.434380776	38.80591497
"Jan 31, 2014"	180.1902174	10394.75543			61.59987155	22828.76523	0.439001848	39.03789279
"Feb 01, 2014"	182.0869565	10504.17391			61.63776493	22858.54171	0.443622921	39.26987061
