names,Subscribers,Views,,Subscriber 2,Views 2,,Subscibers 3,Views 3,,Subscribers 4,Views 4
"Jan 01, 2005",,,,,,,,,,,
"Jan 02, 2005",0,0,,,,,58,20000,,0,17
"Jan 03, 2005",1.8967391304347827,109.41847826086956,,,,,58.037893384714195,20029.77647610122,,0.0046210720887245845,17.231977818853974
"Jan 04, 2005",3.7934782608695654,218.83695652173913,,,,,58.07578676942839,20059.552952202437,,0.009242144177449169,17.463955637707947
"Jan 05, 2005",5.690217391304348,328.2554347826087,,,,,58.113680154142585,20089.329428303656,,0.013863216266173754,17.69593345656192
"Jan 06, 2005",7.586956521739131,437.67391304347825,,,,,58.15157353885677,20119.105904404874,,0.018484288354898338,17.927911275415898
"Jan 07, 2005",9.483695652173914,547.0923913043478,,,,,58.18946692357097,20148.882380506093,,0.02310536044362292,18.15988909426987
"Jan 08, 2005",11.380434782608695,656.5108695652174,,,,,58.227360308285164,20178.65885660731,,0.02772643253234751,18.391866913123845
"Jan 09, 2005",13.277173913043478,765.929347826087,,,,,58.26525369299936,20208.43533270853,,0.03234750462107209,18.62384473197782
"Jan 10, 2005",15.173913043478262,875.3478260869565,,,,,58.303147077713554,20238.21180880975,,0.036968576709796676,18.855822550831792
"Jan 11, 2005",17.070652173913043,984.766304347826,,,,,58.34104046242775,20267.988284910964,,0.04158964879852126,19.087800369685766
"Jan 12, 2005",18.967391304347828,1094.1847826086955,,,,,58.37893384714194,20297.764761012182,,0.04621072088724584,19.31977818853974
"Jan 13, 2005",20.86413043478261,1203.6032608695652,,,,,58.41682723185613,20327.5412371134,,0.05083179297597043,19.551756007393713
"Jan 14, 2005",22.76086956521739,1313.0217391304348,,,,,58.45472061657033,20357.31771321462,,0.05545286506469502,19.78373382624769
"Jan 15, 2005",24.657608695652176,1422.4402173913043,,,,,58.49261400128452,20387.094189315838,,0.0600739371534196,20.015711645101664
"Jan 16, 2005",26.554347826086957,1531.858695652174,,,,,58.53050738599872,20416.870665417056,,0.06469500924214418,20.247689463955638
"Jan 17, 2005",28.451086956521742,1641.2771739130435,,,,,58.56840077071291,20446.647141518275,,0.06931608133086876,20.47966728280961
"Jan 18, 2005",30.347826086956523,1750.695652173913,,,,,58.6062941554271,20476.423617619494,,0.07393715341959335,20.711645101663585
"Jan 19, 2005",32.244565217391305,1860.1141304347825,,,,,58.644187540141296,20506.200093720712,,0.07855822550831794,20.94362292051756
"Jan 20, 2005",34.141304347826086,1969.532608695652,,,,,58.68208092485549,20535.97656982193,,0.08317929759704253,21.175600739371532
"Jan 21, 2005",36.038043478260875,2078.9510869565215,,,,,58.719974309569686,20565.75304592315,,0.0878003696857671,21.40757855822551
"Jan 22, 2005",37.934782608695656,2188.369565217391,,,,,58.75786769428388,20595.529522024368,,0.09242144177449169,21.639556377079483
"Jan 23, 2005",39.83152173913044,2297.788043478261,,,,,58.795761078998076,20625.305998125586,,0.09704251386321627,21.871534195933457
"Jan 24, 2005",41.72826086956522,2407.2065217391305,,,,,58.833654463712264,20655.082474226805,,0.10166358595194086,22.10351201478743
"Jan 25, 2005",43.625,2516.625,,,,,58.87154784842646,20684.858950328024,,0.10628465804066545,22.335489833641404
"Jan 26, 2005",45.52173913043478,2626.0434782608695,,,,,58.909441233140655,20714.635426429242,,0.11090573012939003,22.56746765249538
"Jan 27, 2005",47.41847826086957,2735.461956521739,,,,,58.94733461785485,20744.41190253046,,0.11552680221811461,22.79944547134935
"Jan 28, 2005",49.31521739130435,2844.8804347826085,,,,,58.985228002569045,20774.188378631676,,0.1201478743068392,23.03142329020333
"Jan 29, 2005",51.21195652173913,2954.298913043478,,,,,59.02312138728324,20803.964854732894,,0.12476894639556378,23.263401109057302
"Jan 30, 2005",53.108695652173914,3063.717391304348,,,,,59.06101477199743,20833.741330834113,,0.12939001848428835,23.495378927911275
"Jan 31, 2005",55.005434782608695,3173.1358695652175,,,,,59.09890815671162,20863.51780693533,,0.13401109057301294,23.72735674676525
"Feb 01, 2005",56.902173913043484,3282.554347826087,,,,,59.13680154142582,20893.29428303655,,0.13863216266173753,23.959334565619223
"Feb 02, 2005",58.798913043478265,3391.9728260869565,,,,,59.17469492614001,20923.07075913777,,0.14325323475046212,24.191312384473196
"Feb 03, 2005",60.69565217391305,3501.391304347826,,,,,59.21258831085421,20952.847235238987,,0.1478743068391867,24.42329020332717
"Feb 04, 2005",62.59239130434783,3610.8097826086955,,,,,59.2504816955684,20982.623711340206,,0.1524953789279113,24.655268022181147
"Feb 05, 2005",64.48913043478261,3720.228260869565,,,,,59.28837508028259,21012.400187441424,,0.15711645101663588,24.88724584103512
"Feb 06, 2005",66.38586956521739,3829.6467391304345,,,,,59.32626846499679,21042.176663542643,,0.16173752310536046,25.119223659889094
"Feb 07, 2005",68.28260869565217,3939.065217391304,,,,,59.36416184971098,21071.95313964386,,0.16635859519408505,25.351201478743068
"Feb 08, 2005",70.17934782608695,4048.483695652174,,,,,59.40205523442518,21101.72961574508,,0.17097966728280964,25.58317929759704
"Feb 09, 2005",72.07608695652175,4157.902173913043,,,,,59.43994861913937,21131.5060918463,,0.1756007393715342,25.81515711645102
"Feb 10, 2005",73.97282608695653,4267.320652173913,,,,,59.47784200385357,21161.282567947517,,0.18022181146025879,26.04713493530499
"Feb 11, 2005",75.86956521739131,4376.739130434782,,,,,59.515735388567755,21191.059044048736,,0.18484288354898337,26.279112754158966
"Feb 12, 2005",77.7663043478261,4486.157608695652,,,,,59.55362877328195,21220.835520149954,,0.18946395563770796,26.51109057301294
